Name,Tm,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,FIP,WHIP,H9,BB,SO9,DateTime
Caleb Ferguson,LAD,0,1,3.46,13,1,0,13.0,14,5,5,3,8,14,6.29,1.692,9.7,8,9.7,2019-05-04 10:49:57
Mike Fiers,OAK,2,2,7.03,7,7,0,32.0,39,25,25,7,10,25,5.54,1.531,11.0,10,7.0,2019-05-04 10:49:57
Heath Fillmyer,KCR,0,1,9.0,4,3,0,15.0,21,15,15,5,5,7,7.93,1.733,12.6,5,4.2,2019-05-04 10:49:57
Jack Flaherty,STL,2,1,5.25,5,5,0,24.0,28,14,14,7,5,32,5.01,1.375,10.5,5,12.0,2019-05-04 10:49:57
Chris Flexen,NYM,0,1,10.38,1,1,0,4.1,7,6,5,0,4,0,5.9,2.5380000000000003,14.5,4,0.0,2019-05-04 10:49:57
Wilmer Font,TBR,1,0,6.55,9,0,0,11.0,11,8,8,2,4,16,3.68,1.364,9.0,4,13.1,2019-05-04 10:49:57
Kyle Freeland,COL,2,3,4.23,5,5,0,27.2,23,14,13,3,10,30,3.68,1.193,7.5,10,9.8,2019-05-04 10:49:57
Max Fried,ATL,3,1,2.3,7,5,0,31.1,27,9,8,3,7,26,3.48,1.085,7.8,7,7.5,2019-05-04 10:49:57
Jace Fry,CHW,1,0,6.75,12,0,0,9.1,8,8,7,1,6,11,4.1,1.5,7.7,6,10.6,2019-05-04 10:49:57
Paul Fry,BAL,0,1,4.05,11,0,1,13.1,9,6,6,2,5,11,4.78,1.05,6.1,5,7.4,2019-05-04 10:49:57
Carson Fulmer,CHW,0,1,5.19,5,0,0,8.2,8,5,5,1,4,11,4.52,1.385,8.3,4,11.4,2019-05-04 10:49:57
Giovanny Gallegos,STL,1,0,4.91,7,0,0,7.1,6,4,4,2,3,14,4.5,1.227,7.4,3,17.2,2019-05-04 10:49:57
John Gant,STL,3,0,0.98,14,0,1,18.1,5,2,2,2,7,17,3.84,0.655,2.5,7,8.3,2019-05-04 10:49:57
Luis Garcia,LAA,0,1,3.18,13,0,1,11.1,7,4,4,1,11,5,6.84,1.588,5.6,11,4.0,2019-05-04 10:49:57
Yimi Garcia,LAD,0,1,5.68,14,0,0,12.2,8,9,8,3,6,13,5.82,1.105,5.7,6,9.2,2019-05-04 10:49:57
Amir Garrett,CIN,1,1,1.54,14,0,0,11.2,6,2,2,1,5,12,3.73,0.943,4.6,5,9.3,2019-05-04 10:49:57
Kevin Gausman,ATL,1,2,3.96,4,4,0,25.0,17,12,11,4,8,28,3.93,1.0,6.1,8,10.1,2019-05-04 10:49:57
Sam Gaviglio,TOR,2,0,1.0,8,0,0,18.0,9,3,2,1,2,19,2.24,0.611,4.5,2,9.5,2019-05-04 10:49:57
Cory Gearrin,SEA,0,1,4.5,14,0,0,12.0,6,6,6,1,9,15,4.72,1.25,4.5,9,11.3,2019-05-04 10:49:57
Domingo German,NYY,4,1,1.75,5,4,0,25.2,13,7,5,2,8,28,2.9,0.818,4.6,8,9.8,2019-05-04 10:49:57
Kyle Gibson,MIN,1,0,6.1,4,4,0,20.2,23,15,14,3,8,18,4.44,1.5,10.0,8,7.8,2019-05-04 10:49:57
Ken Giles,TOR,1,1,2.19,13,0,7,12.1,13,3,3,1,5,19,2.32,1.459,9.5,5,13.9,2019-05-04 10:49:57
Lucas Giolito,CHW,2,1,5.3,4,4,0,18.2,15,13,11,2,10,23,3.83,1.339,7.2,10,11.1,2019-05-04 10:49:57
Tyler Glasnow,TBR,4,0,1.53,5,5,0,29.1,21,5,5,2,6,29,2.66,0.92,6.4,6,8.9,2019-05-04 10:49:57
Zack Godley,ARI,1,2,7.58,6,6,0,29.2,33,26,25,5,18,25,5.66,1.719,10.0,18,7.6,2019-05-04 10:49:57
Marco Gonzales,SEA,5,0,2.8,7,7,0,45.0,45,17,14,3,9,34,3.09,1.2,9.0,9,6.8,2019-05-04 10:49:57
Trevor Gott,SFG,1,0,1.8,11,0,0,15.0,7,3,3,0,3,15,1.93,0.667,4.2,3,9.0,2019-05-04 10:49:57
Matt Grace,WSN,0,1,5.4,15,0,0,11.2,12,8,7,1,5,11,3.9,1.4569999999999999,9.3,5,8.5,2019-05-04 10:49:57
Jon Gray,COL,2,3,3.65,6,6,0,37.0,31,15,15,6,16,34,4.86,1.27,7.5,16,8.3,2019-05-04 10:49:57
Sonny Gray,CIN,0,3,3.65,5,5,0,24.2,18,11,10,1,6,31,2.0,0.973,6.6,6,11.3,2019-05-04 10:49:57
